apache-bench

 ,"apache-run-0","apache-run-1","apache-run-2","apache-run-3","apache-run-4","apache-run-5","apache-run-6","apache-run-7","apache-run-8","apache-run-9"
Processor,Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores),Intel Xeon E5-2670 v2 @ 2.50GHz (2 Cores)
Motherboard,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU,Xen HVM domU
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,4096MB,4096MB,4096MB,4096MB,4096MB,4096MB,4096MB,4096MB,4096MB,4096MB
Disk,25GB,25GB,25GB,25GB,25GB,25GB,25GB,25GB,25GB,25GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64),3.13.0-48-generic (x86_64)
Compiler,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2,GCC 4.8.2
File-System,ext4,ext4,ext4,ext4,ext4,ext4,ext4,ext4,ext4,ext4
System Layer,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon,Xen HVM domU 4.2.amazon

 ,"apache-run-0","apache-run-1","apache-run-2","apache-run-3","apache-run-4","apache-run-5","apache-run-6","apache-run-7","apache-run-8","apache-run-9"
"Apache Benchmark - Static Web Page Serving",12115.62,12140.54,12124.39,12106.19,12128.27,8078.38,2667.02,2641.59,2661.73,2698.47

